accession,taxid
HQ241862.1,1080392
HQ241861.1,1080392
HQ241860.1,1080391
HQ241859.1,1081652
HQ241858.1,1081652
HQ241857.1,1081652
HQ241856.1,1081652
HQ241855.1,1081652
HQ241854.1,1080393
HQ241853.1,1080392
HQ241852.1,1080392
HQ241851.1,1080392
HQ241850.1,1080392
HQ241849.1,1080393
HQ241848.1,1080393
HQ241847.1,1080392
HQ241846.1,1080392
HQ241845.1,1080392
HQ241844.1,1080392
HQ241843.1,1080391
HQ241842.1,1080391
HQ241841.1,1081652
KC843854.1,85679
KC843853.1,85679
KC843852.1,85679
KC843851.1,85679
KC843850.1,85679
KC843849.1,85679
KC843848.1,85679
KC843847.1,85679
KC843846.1,85679
KC843845.1,85679
KC843844.1,85679
KC843843.1,85679
KC843842.1,85679
KC843841.1,85679
KC843840.1,85679
KC843839.1,85679
KC843838.1,85679
KC843837.1,85679
KC843836.1,85679
KC843835.1,85679
KC843834.1,85679
KC843833.1,85679
KC843832.1,85679
KC843831.1,85679
KC843830.1,85679
KC843829.1,85679
KC843828.1,85679
KC843827.1,85679
KC843826.1,85679
KC843825.1,85679
KC843824.1,85679
KC843823.1,85679
KC843822.1,85679
KC843821.1,85679
KC843820.1,85679
KC843819.1,85679
KC843818.1,85679
KC843817.1,85679
KC843816.1,85679
KC843815.1,85679
KC843814.1,85679
KC843813.1,85679
KC843812.1,85679
KC843811.1,85679
KC843810.1,85679
KC843809.1,85679
KC843808.1,85679
KC843807.1,85679
KC843806.1,85679
KC843805.1,85679
KC843804.1,85679
KC843803.1,85679
KC843802.1,85679
KC843801.1,85679
KC843800.1,85679
KC843799.1,85679
KC843798.1,85679
KC843797.1,85679
KC843796.1,85679
KC843795.1,85679
KC843794.1,85679
KC843793.1,85679
KC843792.1,85679
KC843791.1,85679
KC843790.1,85679
KC843789.1,85679
KC843788.1,85679
KC122381.1,1286648
KC122380.1,1286648
KC991138.1,4588
KC433909.1,1277752
KC433908.1,1277752
KC433907.1,1277752
KC433906.1,1277752
KC433905.1,1277752
KC433904.1,1277760
KC433903.1,1277759
KC433902.1,1277758
KC433901.1,1277757
KC433900.1,1277756
KC433899.1,1277755
KC433898.1,1277754
KC433897.1,1277753
KC433896.1,90158
JN999668.1,669850
JN999667.1,669850
JN999666.1,669847
JN999665.1,669847
JN999664.1,669847
JN999663.1,561178
JN999662.1,561178
JN999645.1,669837
JN999644.1,669837
JN999643.1,669837
JN999642.1,669837
JN999641.1,669837
JN999640.1,669837
JN999639.1,669837
JN999180.1,491171
JN999179.1,491171
JN999178.1,52709
JN999177.1,52709
JN999176.1,52709
JN999098.1,661419
JN999097.1,661419
JN999096.1,241235
JN999095.1,241235
JN999094.1,241235
JN999093.1,241235
JN999092.1,241235
JN999091.1,912523
JN999090.1,657491
JN999089.1,657491
JN999087.1,657491
JN999086.1,69867
JN999085.1,69867
JN999084.1,241231
JN999083.1,241231
JN999082.1,241231
JN999081.1,241231
